text,label
"Subject: Account Notice
Please submit your report before the deadline.",priority
"Subject: Meeting Reminder
Your account requires immediate attention.",priority
"Subject: Exclusive Discount Just for You
You've been selected for a special reward. Claim now.",spam
"Subject: New Comment on Your Post
Don't miss this weekend's special event.",social
"Subject: Urgent: Verify Your Account
Confirm your details to receive the prize.",spam
"Subject: Account Notice
Your account requires immediate attention.",priority
"Subject: Win a Free iPhone
This is your last chance to grab this amazing discount.",spam
"Subject: Congratulations! You Won
You've been selected for a special reward. Claim now.",spam
"Subject: Congratulations! You Won
You've been selected for a special reward. Claim now.",spam
"Subject: Your Subscription is Active
Your subscription has been renewed successfully.",social
"Subject: Your Order Update
Here are this week's top posts for you.",social
"Subject: Security Alert
Your one-time password is 9371. Do not share.",priority
"Subject: Act Now: Big Savings Inside
Confirm your details to receive the prize.",spam
"Subject: Urgent: Verify Your Account
This is your last chance to grab this amazing discount.",spam
"Subject: Your Subscription is Active
Don't miss this weekend's special event.",social
"Subject: New Comment on Your Post
Your subscription has been renewed successfully.",social
"Subject: Exclusive Discount Just for You
Get 70% off on all items. Hurry before the offer ends!",spam
"Subject: Win a Free iPhone
Confirm your details to receive the prize.",spam
"Subject: Your Subscription is Active
Your subscription has been renewed successfully.",social
"Subject: Weekly Newsletter
You have a new follower. Check out their profile.",social
"Subject: Account Notice
This is a reminder for your scheduled meeting today.",priority
"Subject: Win a Free iPhone
Confirm your details to receive the prize.",spam
"Subject: Your Package is Shipped
Your subscription has been renewed successfully.",social
"Subject: Account Notice
This is a reminder for your scheduled meeting today.",priority
"Subject: Congratulations! You Won
Get 70% off on all items. Hurry before the offer ends!",spam
"Subject: Act Now: Big Savings Inside
This is your last chance to grab this amazing discount.",spam
"Subject: Your Package is Shipped
Your order has been shipped and will arrive soon.",social
"Subject: Win a Free iPhone
Confirm your details to receive the prize.",spam
"Subject: Your Order Update
Don't miss this weekend's special event.",social
"Subject: Meeting Reminder
Your one-time password is 7001. Do not share.",priority
"Subject: Important Update Required
A new login was detected from an unknown device.",priority
"Subject: Account Notice
A new login was detected from an unknown device.",priority
"Subject: Friend Request Received
Here are this week's top posts for you.",social
"Subject: Act Now: Big Savings Inside
You've been selected for a special reward. Claim now.",spam
